date,poids
2024-06-05,80.50
2024-06-09,81.10
2024-06-10,81.40
2024-06-14,82.20
2024-06-16,82.00
2024-06-23,82.20
2024-06-24,81.80
2024-06-25,82.00
2024-06-26,81.80
2024-06-27,82.00
2024-06-28,81.40
2024-06-29,81.30
2024-07-04,82.40
2024-07-06,82.30
2024-07-07,81.80
2024-07-08,82.00
2024-07-09,82.30
2024-07-10,82.00
2024-07-11,81.50
2024-07-12,81.60
2024-07-15,82.80
2024-07-16,81.90
2024-07-17,81.60
2024-07-20,82.20
2024-07-21,81.60
2024-07-22,82.00
2024-07-23,81.80
2024-07-24,81.20
2024-07-25,81.30
2024-07-26,81.00
2024-07-27,80.40
2024-07-28,80.70
2024-07-29,80.50
2024-07-30,80.60
2024-07-31,80.20
2024-08-01,80.50
2024-08-02,80.00
2024-08-03,80.00
2024-08-12,80.20
2024-08-13,80.20
2024-08-14,80.80
2024-08-15,81.20
2024-08-17,81.30
2024-08-18,81.00
2024-08-19,81.40
2024-08-22,81.10
2024-08-24,80.10
2024-08-25,80.00
2024-08-27,79.60
2024-08-28,79.60
2024-08-29,79.70
2024-08-30,79.10
2024-08-31,78.70
2024-09-01,79.60
2024-09-02,78.70
2024-09-03,79.00
2024-09-04,79.30
2024-09-05,78.90
2024-09-07,78.90
2024-09-09,78.20
2024-09-10,78.50
2024-09-11,77.90
2024-09-12,77.70
2024-09-13,77.60
2024-09-14,77.30
2024-09-15,77.30
2024-09-16,77.10
2024-09-17,77.40
2024-09-18,77.40
2024-09-19,77.40
2024-09-20,76.90
2024-09-21,77.00
2024-09-22,77.70
2024-09-23,76.80
2024-09-24,77.00
2024-09-25,76.60
2024-09-26,77.00
2024-09-27,77.10
2024-09-28,77.20
2024-09-29,75.90
2024-10-02,77.00
2024-10-05,77.80
2024-10-07,77.80
2024-10-09,77.50
2024-10-10,77.60
2024-10-11,77.90
2024-10-12,77.40
2024-10-13,78.30
2024-10-14,78.80
2024-10-15,79.50
2024-10-16,78.80
2024-10-17,79.30
2024-10-18,78.70
2024-10-19,79.90
2024-10-20,79.80
2024-10-21,79.20
2024-10-22,79.60
2024-10-23,79.50
2024-10-24,79.40
2024-10-25,79.20
2024-10-26,78.90
2024-10-27,78.30
2024-10-28,79.20
2024-10-29,78.90
2024-10-31,79.80
2024-11-02,80.80
2024-11-04,80.50
2024-11-05,80.10
2024-11-06,80.30
2024-11-07,80.40
2024-11-08,79.90
2024-11-09,79.90
2024-11-10,79.50
2024-11-11,79.10
2024-11-12,79.80
2024-11-13,80.10
2024-11-14,80.10
2024-11-15,79.50
2024-11-16,78.70
2024-11-17,78.80
2024-11-18,79.00
2024-11-19,78.40
2024-11-20,78.30
2024-11-21,78.40
2024-11-22,78.90
2024-11-24,78.10
2024-11-25,77.90
2024-11-26,77.70
2024-11-27,78.00
2024-11-28,78.00
2024-11-29,77.50
2024-12-02,78.30
2024-12-03,77.90
2024-12-04,78.80
2024-12-05,77.60
2024-12-06,78.00
2024-12-07,78.00
2024-12-08,78.30
2024-12-09,78.50
2024-12-10,78.10
2024-12-12,78.60
2024-12-13,77.80
2024-12-15,78.70
2024-12-18,78.50
2024-12-23,79.50
2024-12-24,79.00
2024-12-25,78.70
2024-12-26,78.70
2024-12-27,78.20
2024-12-28,78.20
2024-12-29,78.30
2024-12-30,78.40
2024-12-31,77.90
2025-01-01,78.10
2025-01-02,78.00
2025-01-03,77.90
2025-01-04,78.10
2025-01-05,78.50
2025-01-06,78.20
2025-01-07,77.70
2025-01-08,77.80
